Expiry	Put 0.100000	Put 0.250000	ATM	Call 0.250000	Call 0.100000	
0.0	1.4	1.4	1.4	1.4	1.4	
0.01	1.36115170147	1.38160780294	1.4002395955	1.41860803499	1.43860004298	
0.02	1.34557102071	1.37421984251	1.400479232	1.42654361621	1.45508759012	
0.03	1.33381270979	1.36864071208	1.40071890952	1.43272497314	1.46794261216	
0.04	1.32403083599	1.36399727902	1.40095862805	1.4379989383	1.47891951324	
0.05	1.31551068813	1.35995142675	1.40119838761	1.44269344847	1.4886975936	
0.06	1.30788586347	1.35632978971	1.4014381882	1.44697665206	1.49762511565	
0.07	1.30093878635	1.35302940484	1.40167802983	1.45094841502	1.5059088909	
0.08	1.29452774857	1.34998320149	1.40191791251	1.45467379141	1.51368362185	
0.09	1.28855435682	1.34714460297	1.40215783624	1.45819795818	1.52104284103	
0.1	1.28294699871	1.34447970479	1.40239780103	1.46155380133	1.52805462557	
0.11	1.27765163316	1.34196291768	1.40263780689	1.46476614179	1.53477035072	
0.12	1.27262629145	1.33957436583	1.40287785383	1.46785425886	1.54122991637	
0.13	1.26783761063	1.33729824664	1.40311794184	1.47083348107	1.54746504207	
0.14	1.26325855034	1.33512175035	1.40335807094	1.4737162341	1.55350143719	
0.15	1.25886683377	1.33303432224	1.40359824114	1.4765127563	1.55936028283	
0.16	1.25464385058	1.33102714348	1.40383845244	1.47923160233	1.56505927463	
0.17	1.25057386464	1.3290927561	1.40407870485	1.48188000684	1.57061337591	
0.18	1.24664342904	1.32722478615	1.40431899838	1.484464153	1.57603537361	
0.19	1.24284094588	1.32541773533	1.40455933303	1.48698937464	1.58133629691	
0.2	1.23915632915	1.32366682136	1.40479970882	1.48946031103	1.58652573759	
0.21	1.23558074273	1.32196785399	1.40504012574	1.49188102717	1.59161209912	
0.22	1.232106394	1.3203171373	1.4052805838	1.4942551086	1.59660279283	
0.23	1.22872636934	1.31871139175	1.40552108302	1.49658573692	1.60150439437	
0.24	1.22543450143	1.31714769141	1.40576162339	1.49887575075	1.60632276978	
0.25	1.22222526131	1.31562341282	1.40600220494	1.5011276953	1.61106317813	
0.26	1.21928784525	1.31423874515	1.40621716395	1.50314102373	1.61533825494	
0.27	1.216414922	1.31288441963	1.40643215584	1.5051264277	1.619555271	
0.28	1.21360309567	1.31155885868	1.40664718059	1.50708533413	1.62371724496	
0.29	1.21084925528	1.31026061598	1.40686223821	1.50901905379	1.62782694761	
0.3	1.20815054248	1.30898836175	1.40707732872	1.51092879408	1.63188692936	
0.31	1.20550432379	1.30774086999	1.40729245211	1.51281567011	1.63589954403	
0.32	1.20290816661	1.30651700749	1.40750760839	1.51468071422	1.63986696937	
0.33	1.20035981849	1.30531572433	1.40772279756	1.5165248844	1.64379122496	
0.34	1.19785718897	1.30413604554	1.40793801963	1.51834907148	1.64767418775	
0.35	1.19539833383	1.30297706384	1.40815327461	1.52015410562	1.65151760581	
0.36	1.19298144113	1.30183793323	1.4083685625	1.52194076186	1.65532311034	
0.37	1.19060481901	1.30071786339	1.4085838833	1.52370976517	1.65909222629	
0.38	1.18826688487	1.29961611465	1.40879923702	1.52546179479	1.66282638181	
0.39	1.18596615573	1.2985319936	1.40901462367	1.52719748824	1.66652691659	
0.4	1.1837012397	1.29746484912	1.40923004325	1.52891744474	1.67019508936	
0.41	1.18147082839	1.29641406886	1.40944549576	1.5306222284	1.67383208452	
0.42	1.17927369003	1.29537907612	1.40966098121	1.53231237104	1.67743901817	
0.43	1.1771086634	1.29435932698	1.4098764996	1.53398837465	1.6810169435	
0.44	1.17497465227	1.29335430776	1.41009205095	1.53565071376	1.68456685555	
0.45	1.17287062046	1.29236353274	1.41030763525	1.53729983743	1.68808969569	
0.46	1.17079558735	1.29138654208	1.41052325251	1.53893617115	1.69158635554	
0.47	1.16874862379	1.29042289989	1.41073890274	1.54056011853	1.69505768054	
0.48	1.16672884844	1.28947219259	1.41095458593	1.54217206285	1.69850447326	
0.49	1.16473542436	1.28853402728	1.4111703021	1.54377236844	1.70192749636	
0.5	1.16276755599	1.28760803038	1.41138605125	1.54536138197	1.70532747531	
0.51	1.16106524112	1.28682024991	1.41156530867	1.54669440711	1.70822569457	
0.52	1.15938144505	1.28604100875	1.41174458884	1.54801980894	1.71110788804	
0.53	1.15771570261	1.28527009868	1.41192389179	1.54933777016	1.71397445583	
0.54	1.15606756745	1.28450731974	1.41210321751	1.5506484665	1.71682578242	
0.55	1.15443661096	1.28375247973	1.41228256601	1.55195206705	1.71966223743	
0.56	1.15282242136	1.28300539385	1.41246193729	1.55324873458	1.72248417647	
0.57	1.15122460273	1.28226588424	1.41264133134	1.55453862594	1.72529194182	
