Expiry,"Trading Exchange","Settlement Exchange",Currency,"Unit Amount","Underlying ID","Name","BBG Code"
19/12/2011,CME,CME,USD,1000000,"US0003M Index","Eurodollar 3MO 12/2011","EDZ1 Comdty"
17/09/2012,CME,CME,USD,1000000,"US0003M Index","Eurodollar 3MO 09/2012","EDU2 Comdty"
19/03/2012,CME,CME,USD,1000000,"US0003M Index","Eurodollar 3MO 03/2012","EDH2 Comdty"
18/06/2012,CME,CME,USD,1000000,"US0003M Index","Eurodollar 3MO 06/2011","EDM2 Comdty"
15/12/2013,CME,CME,USD,1000000,"US0003M Index","Eurodollar 3MO 12/2013","EDZ3 Comdty"
