"JPY Swaption 10Y1Y  PY 2","JPY","10","Y","1","Y","PY"," 2","JPR101V"
"JPY Swaption 10Y2Y  PY 2","JPY","10","Y","2","Y","PY"," 2","JPR1002V"
"JPY Swaption 10Y15Y PY 2","JPY","10","Y","15","Y","PY"," 2","JPR1015V"
"JPY Swaption 10Y30Y PY 2","JPY","10","Y","30","Y","PY"," 2","JPR1030V"
"JPY Swaption 15Y30Y PY 2","JPY","15","Y","30","Y","PY"," 2","JPR1530V"
"JPY Swaption 6M15Y  PY 2","JPY","6","M","15","Y","PY"," 2","JPRF15V"
"JPY Swaption 15Y10Y PY 2","JPY","15","Y","10","Y","PY"," 2","JPR1510V"
"JPY Swaption 15Y5Y  PY 2","JPY","15","Y","5","Y","PY"," 2","JPR1505V"
"JPY Swaption 15Y2Y  PY 2","JPY","15","Y","2","Y","PY"," 2","JPR1502V"
"JPY Swaption 15Y1Y  PY 2","JPY","15","Y","1","Y","PY"," 2","JPR1501V"
"JPY Swaption 1M20Y PY .5","JPY","1","M","20","Y","PY"," .5","JPRA20N"
"JPY Swaption 1M30Y PY .5","JPY","1","M","30","Y","PY"," .5","JPRA30N"
"JPY Swaption 1M15Y PY .5","JPY","1","M","15","Y","PY"," .5","JPRA15N"
"JPY Swaption 1M10Y PY .5","JPY","1","M","10","Y","PY"," .5","JPRA10N"
"JPY Swaption 1M5Y  PY .5","JPY","1","M","5","Y","PY"," .5","JPRA05N"
"JPY Swaption 1M2Y  PY .5","JPY","1","M","2","Y","PY"," .5","JPRA02N"
"JPY Swaption 1M1Y  PY .5","JPY","1","M","1","Y","PY"," .5","JPRA01N"
"JPY Swaption 1Y30Y PY .5","JPY","1","Y","30","Y","PY"," .5","JPR130N"
"JPY Swaption 1Y15Y PY .5","JPY","1","Y","15","Y","PY"," .5","JPR115N"
"JPY Swaption 2Y30Y PY .5","JPY","2","Y","30","Y","PY"," .5","JPR230N"
"JPY Swaption 2Y15Y PY .5","JPY","2","Y","15","Y","PY"," .5","JPR215N"
"JPY Swaption 2Y5Y PY .5","JPY","2","Y","5","Y","PY"," .5","JPR205N"
"JPY Swaption 2Y1Y PY .5","JPY","2","Y","1","Y","PY"," .5","JPR201N"
"JPY Swaption 3M1Y PY 0.5","JPY","3","M","1","Y","PY"," 0.5","JPRC01N"
"JPY Swaption 5Y2Y  PY .5","JPY","5","Y","2","Y","PY"," .5","JPR502N"
"JPY Swaption 5Y15Y PY .5","JPY","5","Y","15","Y","PY"," .5","JPR515N"
"JPY Swaption 6M1Y  PY .5","JPY","6","M","1","Y","PY"," .5","JPRF01N"
"JPY Swaption 6M2Y  PY .5","JPY","6","M","2","Y","PY"," .5","JPRF02N"
